                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52465,                 0.3902,                0.94561,                0.98355,                0.95905,                0.98719,                0.88007,                0.47586,                0.32318,                0.92317,             0.00047367,             0.00047367,             0.00047367
                     37,                 0.5146,                0.38501,                0.94158,                0.98983,                0.95938,                0.98357,                0.87983,                0.48165,                0.31549,                0.93255,              0.0004666,              0.0004666,              0.0004666
                     38,                0.51447,                0.38285,                0.94708,                0.98704,                0.95931,                0.98681,                0.87941,                0.47206,                0.31208,                0.92823,             0.00045953,             0.00045953,             0.00045953
                     39,                0.48988,                0.35792,                0.93331,                 0.9769,                0.96883,                0.98718,                 0.8839,                 0.4819,                0.31241,                0.93241,             0.00045246,             0.00045246,             0.00045246
                     40,                0.48724,                0.35469,                0.92638,                0.98737,                0.97183,                0.98979,                0.89549,                0.48303,                0.30097,                0.94354,             0.00044539,             0.00044539,             0.00044539
                     41,                0.49615,                0.36809,                0.92924,                0.98912,                0.95597,                0.98509,                 0.8834,                0.46941,                0.30556,                0.92031,             0.00043832,             0.00043832,             0.00043832
                     42,                 0.4998,                0.36604,                0.93921,                0.98901,                0.96484,                0.98705,                0.87595,                0.49089,                0.30683,                0.95178,             0.00043126,             0.00043126,             0.00043126
                     43,                0.47959,                0.35418,                0.92476,                 0.9812,                0.96008,                0.98331,                0.88266,                0.44813,                0.30678,                0.91956,             0.00042419,             0.00042419,             0.00042419
                     44,                0.48699,                0.35832,                0.93093,                0.99126,                0.95443,                 0.9849,                0.89535,                0.43929,                0.29597,                0.91611,             0.00041712,             0.00041712,             0.00041712
                     45,                0.50282,                0.37393,                0.94506,                0.97373,                0.95773,                0.98458,                0.88502,                0.46237,                0.31567,                0.92155,             0.00041005,             0.00041005,             0.00041005
                     46,                 0.4671,                0.33982,                 0.9229,                  0.982,                0.97215,                 0.9887,                0.89655,                 0.4322,                 0.2825,                 0.9077,             0.00040298,             0.00040298,             0.00040298
                     47,                0.46402,                0.34129,                0.92083,                0.98688,                0.96903,                0.98839,                0.89633,                0.43963,                0.28661,                0.91999,             0.00039591,             0.00039591,             0.00039591
                     48,                0.46055,                0.33362,                0.91717,                0.98842,                0.96348,                0.98943,                0.90107,                0.44862,                0.28846,                0.91301,             0.00038884,             0.00038884,             0.00038884
                     49,                0.46224,                0.33069,                 0.9115,                0.97463,                0.97903,                0.98833,                0.89753,                0.45491,                0.28934,                 0.9206,             0.00038178,             0.00038178,             0.00038178
                     50,                0.45643,                0.33438,                0.91013,                0.97639,                0.98433,                0.98868,                0.89475,                0.43087,                0.29016,                0.91046,             0.00037471,             0.00037471,             0.00037471
                     51,                0.44525,                0.33135,                0.90869,                0.98948,                0.96638,                0.98698,                0.88992,                0.44239,                0.28783,                0.91348,             0.00036764,             0.00036764,             0.00036764
                     52,                0.45638,                 0.3342,                0.91888,                0.98376,                0.98113,                0.99021,                0.90155,                0.42324,                0.27284,                0.90178,             0.00036057,             0.00036057,             0.00036057
                     53,                0.44857,                0.33245,                0.91652,                0.98386,                 0.9823,                0.99108,                0.90576,                0.41835,                0.26614,                0.90907,              0.0003535,              0.0003535,              0.0003535
                     54,                0.45116,                0.33122,                0.91918,                0.99116,                0.97563,                0.99169,                 0.9072,                0.43846,                0.26713,                0.91828,             0.00034643,             0.00034643,             0.00034643
                     55,                0.44714,                0.32827,                0.91863,                0.98603,                 0.9727,                0.98883,                0.89929,                0.44263,                0.27347,                0.91016,             0.00033936,             0.00033936,             0.00033936
                     56,                0.42817,                0.31403,                0.90232,                0.97809,                0.98403,                0.99146,                0.91594,                0.40153,                 0.2587,                0.89667,              0.0003323,              0.0003323,              0.0003323
                     57,                0.43035,                0.31695,                0.90848,                0.98679,                0.98177,                0.99116,                0.91709,                 0.4081,                0.25838,                 0.9073,             0.00032523,             0.00032523,             0.00032523
                     58,                0.43559,                0.31519,                0.90462,                0.98375,                0.98124,                0.99165,                0.90795,                0.41769,                0.26545,                0.90506,             0.00031816,             0.00031816,             0.00031816
                     59,                0.42298,                0.29843,                0.89926,                 0.9891,                0.97524,                0.99152,                0.90997,                0.40717,                0.26258,                0.89031,             0.00031109,             0.00031109,             0.00031109
                     60,                0.42763,                0.31348,                0.90465,                0.98361,                0.98119,                0.99009,                0.91347,                 0.3973,                0.26228,                0.88951,             0.00030402,             0.00030402,             0.00030402
                     61,                0.43132,                0.31929,                0.90778,                0.98584,                 0.9792,                0.99157,                0.91439,                0.39104,                 0.2569,                0.88505,             0.00029695,             0.00029695,             0.00029695
                     62,                0.43059,                0.31014,                0.91038,                0.98671,                0.98121,                0.99007,                0.91324,                0.39411,                0.25406,                0.88993,             0.00028988,             0.00028988,             0.00028988
                     63,                0.41462,                0.30311,                0.89591,                0.98153,                0.97319,                0.99013,                0.91291,                0.40666,                0.26868,                0.90232,             0.00028282,             0.00028282,             0.00028282
                     64,                0.41653,                0.30548,                 0.9018,                 0.9868,                0.97591,                0.99085,                0.91756,                0.39329,                0.25211,                0.89435,             0.00027575,             0.00027575,             0.00027575
                     65,                0.41223,                0.30482,                0.90584,                0.98518,                0.97789,                  0.991,                 0.9144,                0.39135,                0.25047,                0.88994,             0.00026868,             0.00026868,             0.00026868
                     66,                0.40635,                0.29741,                 0.8924,                0.99116,                 0.9791,                0.99253,                0.91718,                0.38719,                0.24214,                0.88777,             0.00026161,             0.00026161,             0.00026161
                     67,                0.38928,                0.28866,                0.88652,                0.98661,                0.97848,                 0.9904,                0.91534,                 0.3964,                0.24977,                 0.8876,             0.00025454,             0.00025454,             0.00025454
                     68,                0.40258,                0.29497,                0.89665,                0.98263,                0.98248,                0.99027,                0.91568,                0.37381,                0.24627,                0.87726,             0.00024747,             0.00024747,             0.00024747
                     69,                0.39534,                0.28513,                0.89996,                0.97814,                0.98134,                0.98731,                0.91292,                 0.3725,                0.25041,                0.87918,              0.0002404,              0.0002404,              0.0002404
                     70,                0.38643,                0.28718,                0.88882,                0.99097,                0.97798,                0.99131,                0.92298,                0.37054,                0.23027,                0.87882,             0.00023334,             0.00023334,             0.00023334
                     71,                  0.384,                0.28262,                0.88792,                0.99185,                0.97115,                0.98856,                0.91673,                0.37743,                0.24501,                0.88678,             0.00022627,             0.00022627,             0.00022627
                     72,                0.38334,                0.28111,                0.88204,                0.98083,                0.98454,                0.99206,                0.92216,                0.36854,                0.23535,                0.87971,              0.0002192,              0.0002192,              0.0002192
                     73,                0.38677,                0.28432,                 0.8859,                0.98808,                0.98415,                0.99108,                0.92149,                 0.3732,                0.22661,                0.88401,             0.00021213,             0.00021213,             0.00021213
                     74,                0.38014,                0.27652,                0.89262,                 0.9942,                0.97516,                0.99128,                0.91963,                0.36908,                0.23627,                0.87785,             0.00020506,             0.00020506,             0.00020506
                     75,                0.36576,                0.27335,                0.87954,                0.99585,                0.97854,                0.99146,                0.92466,                0.35363,                0.23079,                 0.8716,             0.00019799,             0.00019799,             0.00019799
                     76,                0.36591,                0.27687,                0.88149,                0.98918,                 0.9856,                0.99213,                0.92461,                0.37533,                0.22866,                0.89622,             0.00019092,             0.00019092,             0.00019092
                     77,                0.36555,                0.27257,                0.88428,                0.99269,                0.97913,                0.99227,                0.92753,                  0.359,                0.22702,                0.88415,             0.00018385,             0.00018385,             0.00018385
                     78,                0.36942,                0.27042,                0.88139,                0.99194,                0.97829,                0.99349,                0.93126,                0.35119,                0.22255,                0.87488,             0.00017679,             0.00017679,             0.00017679
                     79,                0.35996,                0.26826,                0.87749,                0.99611,                0.97741,                0.99083,                 0.9219,                0.35968,                 0.2228,                0.88157,             0.00016972,             0.00016972,             0.00016972
                     80,                0.35995,                 0.2651,                0.87387,                0.99087,                0.98095,                 0.9911,                0.92792,                0.35602,                0.22615,                0.88065,             0.00016265,             0.00016265,             0.00016265
                     81,                0.34974,                0.25765,                0.86674,                0.98446,                0.98677,                0.99277,                0.93411,                0.35137,                0.21828,                0.87852,             0.00015558,             0.00015558,             0.00015558
                     82,                0.35689,                0.26741,                0.88402,                0.99266,                0.97779,                0.99059,                0.92592,                0.34707,                0.22075,                0.87475,             0.00014851,             0.00014851,             0.00014851
                     83,                0.35063,                0.26219,                0.88059,                0.98823,                0.98302,                0.99116,                0.92803,                0.35044,                0.21676,                0.87991,             0.00014144,             0.00014144,             0.00014144
                     84,                0.34926,                0.25748,                0.87616,                0.99514,                0.98138,                0.99325,                0.93477,                0.34288,                0.21396,                0.87933,             0.00013437,             0.00013437,             0.00013437
                     85,                0.33947,                0.25032,                0.86778,                 0.9938,                0.98246,                0.99195,                  0.929,                  0.338,                0.21528,                0.87588,             0.00012731,             0.00012731,             0.00012731
                     86,                0.34572,                0.25484,                0.87702,                0.99211,                0.98091,                0.99128,                0.92675,                0.35085,                0.21674,                0.87715,             0.00012024,             0.00012024,             0.00012024
                     87,                0.35047,                0.25778,                0.88465,                0.99482,                0.98294,                0.99157,                0.93277,                0.33706,                0.21583,                0.87311,             0.00011317,             0.00011317,             0.00011317
                     88,                0.33449,                0.25252,                0.86755,                0.99335,                0.98489,                0.99191,                 0.9313,                0.32593,                0.21295,                0.86883,              0.0001061,              0.0001061,              0.0001061
                     89,                0.33815,                0.25446,                0.87309,                0.99476,                0.98193,                0.99228,                0.93437,                0.32842,                0.20699,                0.86771,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  0.342,                0.24933,                0.87249,                0.99456,                0.98171,                0.99147,                0.93404,                0.32095,                  0.211,                0.86485,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.27807,                0.19741,                0.83992,                0.99797,                 0.9778,                0.99048,                0.92755,                 0.3328,                0.22639,                0.86387,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.25906,                0.18868,                0.81575,                0.99417,                0.98301,                 0.9909,                0.92964,                0.32989,                0.21456,                0.86427,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.26595,                0.18672,                0.82792,                0.99692,                0.97895,                0.99049,                0.93504,                0.32481,                0.21397,                0.86017,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.26334,                0.18965,                0.83178,                0.99143,                0.98444,                0.99065,                0.93418,                0.32622,                0.20647,                0.86315,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 0.2484,                0.17771,                0.81839,                0.99351,                0.98541,                0.99204,                0.93655,                0.32569,                0.20406,                0.86857,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.24329,                0.17741,                0.81833,                 0.9932,                 0.9838,                0.99222,                 0.9378,                0.32174,                0.20056,                0.86203,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.24148,                0.17867,                0.81387,                0.99419,                0.98364,                0.99192,                0.93648,                0.32003,                0.19871,                 0.8617,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 0.2401,                0.17678,                0.80769,                0.99172,                0.98978,                0.99193,                0.93534,                0.31707,                0.19708,                0.86266,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.23996,                0.17722,                0.81593,                0.99204,                0.98961,                0.99258,                0.93914,                0.31323,                0.19712,                 0.8621,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.23485,                0.17411,                0.81064,                0.99045,                0.98949,                0.99215,                 0.9384,                0.31293,                0.19497,                0.86253,             2.1277e-05,             2.1277e-05,             2.1277e-05
